Ortschaftsname;PLZ;Zusatzziffer;Gemeindename;BFS-Nr;Kantonskürzel;E;N;Sprache
Chapelle-sur-Moudon;1063;0;Montanaire;5693;VD;6.7348505;46.6699037;fr
Martherenges;1063;2;Montanaire;5693;VD;6.7532287;46.6610908;fr
Peyres-Possens;1063;4;Montanaire;5693;VD;6.7068963;46.6633350;fr
Chanéaz;1409;0;Montanaire;5693;VD;6.7427444;46.7296486;fr
Thierrens;1410;0;Montanaire;5693;VD;6.7562275;46.7030327;fr
Correvon;1410;2;Montanaire;5693;VD;6.7372211;46.7158877;fr
Denezy;1410;3;Montanaire;5693;VD;6.7847244;46.7197530;fr
St-Cierges;1410;5;Montanaire;5693;VD;6.7324346;46.6893832;fr
Neyruz-sur-Moudon;1515;1;Montanaire;5693;VD;6.7871914;46.6978283;fr
Arnex-sur-Nyon;1277;1;Arnex-sur-Nyon;5701;VD;6.1914739;46.3753328;fr
Arzier-Le Muids;1273;0;Arzier-Le Muids;5702;VD;6.2073593;46.4605192;fr
Bassins;1269;0;Bassins;5703;VD;6.2315014;46.4621357;fr
Begnins;1268;0;Begnins;5704;VD;6.2515248;46.4407926;fr
Bogis-Bossey;1279;2;Bogis-Bossey;5705;VD;6.1662661;46.3538292;fr
Borex;1277;0;Borex;5706;VD;6.1776078;46.3786902;fr
Chavannes-de-Bogis;1279;0;Chavannes-de-Bogis;5707;VD;6.1623159;46.3443723;fr
Chavannes-des-Bois;1290;2;Chavannes-des-Bois;5708;VD;6.1337664;46.3159735;fr
Chéserex;1275;0;Chéserex;5709;VD;6.1750519;46.4007265;fr
Coinsins;1267;2;Coinsins;5710;VD;6.2393898;46.4236125;fr
Commugny;1291;0;Commugny;5711;VD;6.1803963;46.3201712;fr
Coppet;1296;0;Coppet;5712;VD;6.1930956;46.3158766;fr
Crans VD;1299;0;Crans (VD);5713;VD;6.2063681;46.3559002;fr
Crassier;1263;0;Crassier;5714;VD;6.1637894;46.3742746;fr
Duillier;1266;0;Duillier;5715;VD;6.2330398;46.4089701;fr
Eysins;1262;0;Eysins;5716;VD;6.2047035;46.3793080;fr
Founex;1297;0;Founex;5717;VD;6.1927319;46.3329264;fr
Genolier;1272;0;Genolier;5718;VD;6.2179269;46.4346591;fr
Gingins;1276;0;Gingins;5719;VD;6.1797011;46.4094853;fr
Givrins;1271;0;Givrins;5720;VD;6.2021214;46.4292629;fr
Gland;1196;0;Gland;5721;VD;6.2652174;46.4236957;fr
Grens;1274;3;Grens;5722;VD;6.1920739;46.3949506;fr
Mies;1295;1;Mies;5723;VD;6.1709294;46.3054021;fr
Nyon;1260;0;Nyon;5724;VD;6.2380077;46.3808167;fr
Prangins;1197;0;Prangins;5725;VD;6.2498596;46.3945290;fr
La Rippe;1278;0;La Rippe;5726;VD;6.1502652;46.3816893;fr
St-Cergue;1264;0;Saint-Cergue;5727;VD;6.1587969;46.4479474;fr
La Cure;1265;0;Saint-Cergue;5727;VD;6.0754499;46.4636833;fr
Signy;1274;1;Signy-Avenex;5728;VD;6.2020993;46.3910326;fr
Tannay;1295;2;Tannay;5729;VD;6.1762318;46.3088189;fr
Trélex;1270;0;Trélex;5730;VD;6.2039476;46.4132173;fr
Le Vaud;1261;33;Le Vaud;5731;VD;6.2345897;46.4772988;fr
Vich;1267;1;Vich;5732;VD;6.2496665;46.4293323;fr
